3,0,420
4,800,345
1,800,345
4,1000,270
1,1000,270
4,1200,195
1,1200,195
0,1600,195
0,1900,195
0,2200,195
0,2500,195
0,2800,320
0,3100,320
0,3400,320
2,3750,260
1,4250,140
1,4550,260
1,4850,140
1,5150,260
1,5450,140
2,5750,420
1,6350,320
1,6750,220
1,7150,120
3,7450,420
1,7500,120
1,7850,120
1,8200,120
2,8400,270
1,8900,420
4,9100,345
0,9100,345
4,9200,270
0,9200,270
4,9300,195
0,9300,195
4,9400,120
2,9400,120
3,9900,420
5,10650,415
2,10850,190
2,11450,190
2,12020,190
3,12550,420
5,12600,415
0,13500,320
1,13800,420
0,14150,320
1,14450,420
0,14800,320
1,15100,420
2,15450,370
0,16000,320
0,16250,270
0,16500,220
2,16700,320
2,17200,420
